,first_name,last_name
171,Сергей,Смазнов
172,Иван,Мальцев
173,Владимир,Маранин
174,Сергей,Погребников
175,Сергей,Фролов
176,Николай,Саюстов
177,Анатолий,Савченко
178,Андрей,Погуралов
179,Станислав,Селютин
180,Евгений,Чернышов
181,Эдуард,Беккер
182,Кирилл,Шульженко
183,Антон,Растилин
184,Константин,Бутаков
185,Леонид,Варяница
186,Сергей,Федореев
187,Петр,Боброков
188,Сергей,Гулюченко
189,Олег,Копытский
190,Анатолий,Едуков
191,Артем,Ильченко
192,Николай,Харада
193,Владислав,Золочевский
194,Владимир,Семёнов
195,Кирилл,Силиванов
196,Владислав,Исайчиков
197,Александр,Сабуров
198,Евгений,Рубан
199,Руслан,Вяткин
200,Александр,Катыхин
201,Владимир,Василенко
202,Владимир,Полуэктов
203,Станислав,Старков
204,Владимир,Панкратов
205,Сергей,Овчаренко
206,Сергей,Торский
207,Алексей,Черкасов
208,Вадим,Русских
209,Андрей,Кладов
210,Денис,Михайличенко
211,Сергей,Борняков
212,Александр,Коряк
213,Михаил,Иванов
214,Владислав,Одиноков
215,Николай,Громов
216,Ганбар,Ибрагимов
217,Максим,Мирошкин
218,Иван,Жигулин
219,Михаил,Крестьянников
220,Иван,Новокрещенов
221,Григорий,Катернов
222,Михаил,Шинкаренко
223,Михаил,Герасимов
224,Павел,Шарый
225,Юрий,Ударцев
226,Владимир,Лаговщин
227,Игорь,Силин
228,Дмитрий,Мусаев
229,Евгений,Подпрятов
230,Сергей,Сердюк
231,Константин,Кудрин
232,Юрий,Пеньков
233,Александр,Титанов
234,Алексей,Югов
235,Дмитрий,Мордвинов
236,Роман,Крякушин
237,Константин,Пьянов
238,Иван,Фролов
239,Константин,Юдин
240,Максим,Репях
241,Сергей,Никифоров
242,Андрей,Савенко
243,Николай,Платков
244,Павел,Храмцов
245,Андрей,Попков
246,Вадим,Заречнев
247,Константин,Швемлер
248,Вячеслав,Паршиков
249,Игорь,Грудев
250,Максим,Швец
251,Александр,Степанов
252,Николай,Костиков
253,Эдуард,Глушков
254,Александр,Хлуднев
255,Вячеслав,Осенних
256,Юрий,Кофанов
257,Дмитрий,Кузьмин
258,Александр,Осипов
259,Алексей,Учанин
260,Алексей,Старчиков
261,Роман,Хорошев
262,Павел,Загайнов
263,Вадим,Панов
264,Андрей,Лефлер
265,Михаил,Савельев
266,Николай,Авдюшин
267,Евгений,Резцов
268,Алексей,Ездин
269,Алексей,Жиглов
270,Вячеслав,Заключаев
271,Алексей,Ромадов
272,Алексей,Голованов
273,Артем,Максимов
274,Игорь,Гайдасев
275,Валерий,Жданов
276,Олег,Волков
277,Андрей,Плотников
278,Максим,Налимов
279,Андрей,Соклаков
280,Олег,Ходак
281,Максим,Янышевский
282,Артем,Бухарин
283,Евгений,Сергиенко
284,Алексей,Александров
285,Владимир,Быстров
286,Дмитрий,Белов
287,Андрей,Брика
288,Евгений,Гриценко
289,Юрий,Голубев
290,Сергей,Рассоха
291,Дмитрий,Заика
292,Алексей,Гнетов
293,Евгений,Кретов
294,Сергей,Козлов
295,Руслан,Харитонов
296,Василий,Ширяев
297,Николай,Брулевич
298,Максим,Фартышев
299,Вадим,Сайфеев
300,Роман,Бровкин
301,Евгений,Хромов
302,Дмитрий,Красовский
303,Александр,Пахомов
304,Алексей,Брыль
305,Иван,Медведев
306,Дмитрий,Рожков
307,Сергей,Спешилов
308,Евгений,Колесников
309,Владимир,Поздняков
310,Евгений,Прокудин
311,Данил,Ковалев
312,Артем,Бычков
313,Сергей,Пакылов
314,Алексей,Роговский
315,Василий,Тукмашев
316,Михаил,Подольский
317,Равиль,Самигулин
318,Сергей,Мартышин
319,Константин,Чиняев
320,Валерий,Красников
321,Юрий,Коновалов
322,Виталий,Роташнюк
323,Михаил,Емельянов
324,Дмитрий,Столяров
325,Андрей,Веселков
326,Виталий,Ардуганов
327,Георгий,Гусев
328,Радик,Манаков
329,Сергей,Клисак
330,Вадим,Леонов
331,Станислав,Афонин
332,Сергей,Шамне
333,Артем,Енговатов
334,Вадим,Прутов
335,Константин,Макаров
336,Станислав,Стёпин
337,Юрий,Юлуков
338,Алексей,Кузнецов
339,Сергей,Куликов
340,Сергей,Белозуб
341,Сергей,Зайцев
342,Алексей,Чернов
343,Сергей,Филиппов
344,Сергей,Глебов
345,Павел,Голубев
346,Олег,Попов
347,Евгений,Алымов
348,Иван,Савин
349,Евгений,Солёных
350,Дмитрий,Мамонтов
351,Василий,Лебедь
352,Иван,Затулей
353,Илья,Першин
354,Виктор,Комолов
355,Иван,Бостан
356,Сергей,Бабохин
357,Руслан,Катков
358,Иван,Лоза
359,Евгений,Илларионов
360,Дмитрий,Ищенко
361,Тимофей,Москалев
362,Алексей,Ковальчук
363,Сергей,Попов
364,Дмитрий,Вититинов
365,Иван,Бурыкин
366,Илья,Юров
367,Андрей,Ямщиков
368,Максим,Бугров
369,Алексей,Мерских
370,Владислав,Бобринский
371,Григорий,Корнев
372,Евгений,Рудаков
373,Андрей,Кучинов
374,Дмитрий,Шкарупин
375,Евгений,Шишанов
376,Игорь,Трубицын
377,Денис,Новак
378,Александр,Ягодкин
379,Сергей,Мочалов
380,Александр,Абраев
381,Алексей,Катенев
382,Артём,Прилепин
383,Павел,Чуев
384,Дмитрий,Сергеев
385,Сергей,Сова
386,Сергей,Абдуллоев
387,Александр,Эрфурт
388,Александр,Полыгалов
389,Владимир,Антипов
390,Александр,Алжабаев
391,Виталий,Ермаков
392,Владимир,Кирячек
393,Генрих,Миллер
394,Евгений,Кузь
395,Игорь,Ковальчук
396,Виталий,Михальченко
397,Алексей,Шестаков
398,Алексей,Чумакаев
399,Максим,Бондарев
400,Дмитрий,Куницин
401,Иван,Дик
402,Андрей,Жерноклеев
403,Алексей,Суворов
404,Михаил,Балаков
405,Евгений,Климанов
406,Геннадий,Шумахер
407,Василий,Селиванов
408,Константин,Сухоруков
409,Константин,Пупков
410,Константин,Ярных
411,Анатолий,Граб
412,Евгений,Репин
413,Руслан,Ткачев
414,Владимир,Ситков
415,Мигели,Шталь
416,Иван,Вайс
417,Роман,Черемухин
418,Дмитрий,Маклаков
419,Александр,Сутормин
420,Дмитрий,Ситник
421,Артур,Зулпыхар
422,Юрий,Губин
423,Сергей,Борщев
424,Сергей,Балахонов
425,Евгений,Шандер
426,Александр,Ананьев
427,Александр,Лелеш
428,Владимир,Кравцов
429,Дамир,Хасанов
430,Александр,Юрчик
431,Николай,Манохин
432,Алексей,Кляпиков
433,Иван,Ермошкин
434,Кирилл,Угрюмов
435,Александр,Воробьев
436,Владимир,Покормяха
437,Сергей,Синьков
438,Сергей,Степанов
439,Асет,Жаманбаев
440,Дмитрий,Коренков
441,Виктор,Афанасьев
442,Станислав,Слабодян
443,Владимир,Бархатов
444,Максим,Жидков
445,Сергей,Пецольд
446,Евгений,Белый
447,Вячеслав,Белоножко
448,Алексей,Пеннер
449,Виталий,Подлеснов
450,Виктор,Посохов
451,Никита,Соловьёв
452,Сергей,Башкатов
453,Роман,Савченко
454,Олег,Гуртяк
455,Максим,Масловский
456,Алексей,Вархолинский
457,Сергей,Коршунов
458,Валерий,Гагарин
459,Александр,Гончаров
460,Степан,Фоменко
461,Юрий,Фоменко
462,Игорь,Фильчаков
463,Алексей,Сяцко
464,Вадим,Титов
465,Владимир,Новиков
466,Кирилл,Гусев
467,Денис,Фатин
468,Владимир,Астанин
469,Андрей,Барсуков
470,Кирилл,Ломиворотов
471,Максим,Федюнин
472,Владимир,Симаков
473,Евгений,Ширяев
474,Алексей,Новокрещинов
475,Виктор,Зенченко
476,Максим,Матвеев
477,Владимир,Жаров
478,Владимир,Трошин
479,Юрий,Ермолаев
480,Юрий,Зарубин
481,Андрей,Гуртяк
482,Алексей,Князев
483,Леонид,Аксёнов
484,Виталий,Метковский
485,Виктор,Гасников
486,Алексей,Андрейченко
487,Роман,Поляков
488,Василий,Циммерман
489,Сергей,Маляйкин
490,Владимир,Гусев
491,Дмитрий,Буряк
492,Анатолий,Антонов
493,Илья,Скопинцев
494,Елисей,Бойко
495,Михаил,Сергеев
496,Вениамин,Ивонин
497,Владимир,Калинин
498,Александр,Каюмов
499,Виктор,Мертенс
500,Сергей,Жарков
501,Александр,Поднепольский
502,Сергей,Мастряков
503,Алексей,Барсуковский
504,Михаил,Майдуров
505,Иван,Шваб
506,Станислав,Ласкавый
507,Николай,Воробьев
508,Владимир,Карих
509,Виктор,Мецкер
510,Владимир,Сидельников
511,Борис,Базюк
512,Евгений,Тройнин
513,Николай,Демичев
514,Владимир,Тытаренко
515,Евгений,Нечипуренко
516,Петр,Голядкин
517,Александр,Денисов
518,Александр,Садовой
519,Арсений,Тарханов
520,Денис,Ганов
521,Иван,Коростелев
522,Анатолий,Перетягин
523,Юрий,Ушаков
524,Виталий,Тижимеев
525,Евгений,Золотухин
526,Дмитрий,Дорофеев
527,Иван,Жунусов
528,Илья,Тихобаев
529,Егор,Трусов
530,Юрий,Вишняков
531,Андрей,Ремешевский
532,Сергей,Воробьев
533,Андрей,Боровик
534,Андрей,Тимофеев
535,Александр,Киселев
536,Владимир,Волошкин
537,Сергей,Сивкевич
538,Сергей,Федорков
539,Сергей,Петров
540,Вячеслав,Трефилов
541,Сергей,Монич
542,Николай,Толмачев
543,Алексей,Афанасьев
544,Сергей,Балабанов
545,Сергей,Говгаленко
546,Константин,Аверин
547,Павел,Рыбцов
548,Виктор,Луценко
549,Спартак,Карпов
550,Иван,Санников
551,Роман,Гомляков
552,Руслан,Эстемиров
553,Евгений,Колпаков
554,Роман,Кудратов
555,Алексей,Востриков
556,Роман,Ярославцев
557,Валерий,Сеферов
558,Максим,Подоров
559,Юрий,Ясаков
560,Александр,Пичуев
561,Роман,Машталер
562,Александр,Циммер
563,Николай,Мартынов
564,Александр,Кузнецов
565,Сергей,Залевский
566,Сергей,Евсюков
567,Илья,Фролов
568,Николай,Мерзликин
569,Сергей,Минеев
570,Евгений,Квашнин
571,Вячеслав,Койнов
572,Евгений,Морозов
573,Евгений,Рождественский
574,Иван,Чернов
575,Юрий,Черненко
576,Олег,Гавричев
577,Магзам,Захаров
578,Евгений,Пудовкин
579,Сергей,Редькин
580,Игорь,Архипов
581,Константин,Михайлов
582,Виктор,Пудовкин
583,Никита,Бухарин
584,Алексей,Мироненко
585,Валентин,Бук
586,Сергей,Исаев
587,Сергей,Ярошенко
588,Денис,Симбирцев
589,Виталий,Иглин
590,Дмитрий,Посметюк
591,Валерий,Фещенко
592,Евгений,Лосоногов
593,Евгений,Малышев
594,Иван,Хочеев
595,Евгений,Мошкин
596,Сергей,Денисенко
597,Сергей,Трышканов
598,Виктор,Щекатуров
599,Константин,Заика
600,Иван,Кондратьев
601,Николай,Кухарев
602,Вадим,Белоусов
603,Иван,Гладышев
604,Никита,Чехомов
605,Сергей,Ярыч
606,Сергей,Сапрыкин
607,Иван,Сигитов
608,Максим,Колесник
609,Иван,Мадяр
610,Александр,Неверов
611,Олег,Утеленов
612,Иван,Мошкаров
613,Артем,Куликов
614,Дмитрий,Воякин
615,Павел,Чернобаев
616,Валерий,Мащенко
617,Станислав,Казанин
618,Михаил,Сыворотко
619,Семен,Абронин
620,Евгений,Соломатов
621,Александр,Дьячков
622,Алексей,Гусс
623,Сергей,Ширяев
624,Александр,Юшков
625,Сергей,Маловатский
626,Валерий,Сокольских
627,Юрий,Заикин
628,Сергей,Александров
629,Константин,Лаптев
630,Андрей,Гладков
631,Алексей,Зыков
632,Виктор,Чернягин
633,Дмитрий,Ушаков
634,Алексей,Никифоров
635,Михаил,Лукьянчиков
636,Сергей,Завитов
637,Валерий,Ефименко
638,Вадим,Накоряков
639,Юрий,Шкарубин
640,Вячеслав,Бондарев
641,Максим,Яковлев
642,Дмитрий,Позолотин
643,Андрей,Живодерников
644,Виталий,Агапин
645,Александр,Гайцев
646,Юрий,Колокольцев
647,Андрей,Головин
648,Максим,Шабанов
649,Вячеслав,Шишов
650,Владислав,Синенко
651,Александр,Шаповалов
652,Александр,Татаринцев
653,Алексей,Афанасьев
654,Сергей,Карпачев
655,Сергей,Перемыкин
656,Роман,Плешивцев
657,Роман,Бражников
658,Альберт,Файзуллин
659,Юрий,Румянцев
660,Семен,Солькин
661,Анатолий,Воробьев
662,Игорь,Кулик
663,Кирилл,Гусев
664,Александр,Антонов
665,Александр,Елькин
666,Максим,Некрасов
667,Вячеслав,Юрченко
668,Максим,Стецура
669,Михаил,Поклонов
670,Руслан,Белозерских
671,Максим,Болиевский
672,Иван,Канинин
673,Павел,Креськов
674,Алексей,Черненко
675,Александр,Тушенов
676,Александр,Камболин
677,Виктор,Чернышёв
678,Александр,Елтышев
679,Владимир,Фишер
680,Валерий,Заключаев
681,Дмитрий,Коркин
682,Андрей,Казадаев
683,Александр,Беспалов
684,Сергей,Шабалин
685,Андрей,Клюев
686,Алексей,Подоплелов
687,Юрий,Колесников
688,Константин,Богер
689,Илья,Сытников
690,Максим,Медведев
691,Сергей,Ваганов
692,Овсепович,Сумбат
693,Евгений,Носов
694,Олег,Тимофеев
695,Сергей,Барбашин
696,Максим,Петров
697,Антон,Чёрный
698,Вадим,Гончаров
699,Анатолий,Амельчуков
700,Александр,Трушников
701,Максим,Кречко
702,Алексей,Филатов
703,Константин,Ситников
704,Игорь,Безуглов
705,Никита,Батов
706,Евгений,Вершинин
707,Константин,Третьяков
708,Евгений,Поторочин
709,Виталий,Беккер
710,Юрий,Авдеев
711,Данил,Индюков
712,Роман,Прилепин
713,Валентин,Шенерштет
714,Михаил,Баулин
715,Александр,Глотов
716,Вадим,Беликов
717,Александр,Ульянов
718,Вадим,Заика
719,Вячеслав,Измайлов
720,Владимир,Михеев
721,Владимир,Лазаренко
722,Александр,Кнуренко
723,Алексей,Маслов
724,Дмитрий,Босых
725,Павел,Атаманюк
726,Константин,Бантюков
727,Владимир,Боярин
728,Андрей,Глущенко
729,Василий,Голов
730,Дмитрий,Ельпашев
731,Евгений,Ефремов
732,Алексей,Иванков
733,Андрей,Князик
734,Николай,Коев
735,Василий,Кривенко
736,Владислав,Ларин
737,Александр,Ласкуткин
738,Максим,Мищенко
739,Виталий,Нестеренко
740,Валерий,Паньков
741,Виталий,Пинягин
742,Иван,Пятов
743,Сергей,Старков
744,Алексей,Старостин
745,Андрей,Унгер
746,Сергей,Харлов
747,Леонид,Радионов
748,Станислав,Борисов
749,Александр,Горбунов
750,Левон,Давидян
751,Алексей,Жалин
752,Николай,Фирсов
753,Александр,Глотов
754,Дмитрий,Плотников
755,Владимир,Архипов
756,Сергей,Вашанов
757,Дмитрий,Тютюнник
758,Артем,Тутаев
759,Михаил,Козлютин
760,Василий,Морозов
761,Антон,Белов
762,Павел,Скрипкин
763,Николай,Байдуков
764,Андрей,Тукоев
765,Дмитрий,Пупынин
766,Владимир,Гесс
767,Евгений,Терехин
768,Евгений,Кондратьев
769,Иван,Курохтин
770,Дмитрий,Лопатин
771,Станислав,Семченко
772,Александр,Долгушев
773,Евгений,Берх
774,Данил,Ефимцев
775,Александр,Шипунов
776,Андрей,Найгаус
777,Игорь,Сизов
778,Михаил,Пешков
779,Михаил,Степанищев
780,Иван,Титоренко
781,Роман,Куракин
782,Алексей,Скопинцев
783,Александр,Черепанов
784,Максим,Усков
785,Евгений,Петров
786,Петр,Волков
787,Александр,Черемнов
788,Виктор,Пережогин
789,Евгений,Частоступов
790,Владислав,Куприянов
791,Денис,Ким
792,Александр,Лариков
793,Александр,Свириденко
794,Николай,Калмыков
795,Владислав,Поздняков
796,Артем,Баев
797,Сергей,Глушков
798,Максим,Квасов
799,Максим,Воловенко
800,Артём,Чебаевских
801,Александр,Игнатюк
802,Сергей,Медведев
803,Владимир,Клещев
804,Александр,Орлов
805,Денис,Тройнин
806,Александр,Чащухин
807,Дмитрий,Симаков
808,Арман,Макенов
809,Алексей,Мальцев
810,Николай,Вахненко
811,Игорь,Савин
812,Денис,Филюрский
813,Дмитрий,Пугачев
814,Василий,Ивлев
815,Даниил,Поляков
816,Евгений,Машуков
817,Сергей,Шемятов
818,Артём,Логачёв
819,Виталий,Столяров
820,Сергей,Кузнецов
821,Павел,Попов
822,Алексей,Забегалов
823,Владимир,Бражников
824,Николай,Лютин
825,Николай,Каплин
826,Евгений,Перков
827,Фёдор,Бердюгин
828,Александр,Рожнев
829,Игорь,Казаченко
830,Сергей,Демченко
831,Олег,Боргдорф
832,Иван,Крапивницкий
833,Иван,Будников
834,Семен,Вашурин
835,Александр,Мазур
836,Александр,Акулов
837,Павел,Аксенов
838,Дмитрий,Семёркин
839,Илья,Холин
840,Александр,Берстенев
841,Никита,Кузнецов
842,Олег,Брагин
843,Андрей,Морозов
844,Константин,Апарнев
845,Евгений,Кузнецов
846,Евгений,Майборода
847,Сергей,Макушев
848,Евгений,Поздняков
849,Дмитрий,Стенников
850,Николай,Шнайдер
851,Максим,Щелоков
852,Николай,Чанов
853,Юрий,Колмыков
854,Андрей,Гурченко
855,Дмитрий,Бардавиков
856,Максим,Гришин
857,Андрей,Веселов
858,Владимир,Гордиенко
859,Иван,Кеслер
860,Константин,Молодых
861,Андрей,Овчинников
862,Евгений,Иванюгин
863,Роман,Смоглиенко
864,Эркин-Коо,Бахтуев
865,Игорь,Никоненко
866,Станислав,Забрудский
867,Илья,Твёрдохлеб
868,Сергей,Кноль
869,Денис,Аверин
870,Денис,Атиев
871,Станислав,Суслов
872,Виктор,Наделяев
873,Павел,Ганков
874,Николай,Морщинский
875,Михаил,Захаров
876,Сергей,Понягин
877,Виталий,Жалин
878,Евгений,Нархов
879,Владимир,Кудинов
880,Александр,Колесов
881,Сергей,Захаров
882,Дмитрий,Салбашев
883,Евгений,Мазиев
884,Михаил,Черданцев
885,Сергей,Вольф
886,Павел,Половинкин
887,Руслан,Ляушас
888,Владимир,Ким
889,Константин,Гришакин
890,Александр,Редькин
891,Евгений,Яцкин
892,Виктор,Антипов
893,Николай,Мирошниченко
894,Василий,Чекменев
895,Иван,Подскребков
896,Виталий,Выхристюк
897,Олег,Куляпин
898,Вячеслав,Писчальников
899,Алексей,Солдатенко
900,Михаил,Карпенко
901,Михаил,Воронов
902,Сергей,Зиновьев
903,Алексей,Бурыкин
904,Максим,Абрамов
905,Виталий,Увид
906,Антон,Лесник
907,Сергей,Бельченко
908,Руслан,Визгунов
909,Дмитрий,Чудин
910,Алексей,Предко
911,Сергей,Ведерников
912,Евгений,Спиридонов
913,Николай,Плех
914,Алексей,Кохановский
915,Александр,Шипилов
916,Николай,Коньков
917,Николай,Медведев
918,Алексей,Попов
919,Алексей,Явнов
920,Юрий,Ковтун
921,Сергей,Ишутин
922,Александр,Ратков
923,Николай,Момот
924,Александр,Вавилкин
925,Сергей,Богомолов
926,Виктор,Абашин
927,Юрий,Иост
928,Валерий,Никонов
929,Данил,Смолин
930,Руслан,Немков
931,Антон,Гуляев
932,Евгений,Кудинов
933,Алексей,Авдеев
934,Александр,Квасков
935,Евгений,Лавкайтис
936,Тимур,Можерин
937,Евгений,Потапович
938,Александр,Чичихин
939,Сергей,Чичмарев
940,Сергей,Беликов
941,Александр,Шипицин
942,Сергей,Шевченко
943,Валерий,Цымболенко
944,Анатолий,Литасов
945,Юрий,Мошкин
946,Андрей,Злобин
947,Илья,Беляев
948,Александр,Гельфинбайн
949,Илья,Трубачев
950,Алексей,Ермак
951,Валентин,Ералин
952,Антон,Панасенко
953,Евгений,Родионов
954,Владимир,Коновалов
955,Дмитрий,Колмогоров
956,Иван,Кулабухов
957,Виталий,Иванов
958,Николай,Котельников
959,Сергей,Клюев
960,Ильяс,Берсугуров
961,Александр,Болгов
962,Сергей,Клоос
963,Максим,Осипов
964,Александр,Гончаров
965,Юрий,Узингер
966,Анатолий,Мартынов
967,Сергей,Ковылин
968,Александр,Климов
969,Дмитрий,Копылов
970,Сергей,Смышляев
971,Леонид,Костромин
972,Денис,Сурков
973,Анатолий,Ислентьев
974,Владислав,Хохлов
975,Василий,Долгов
976,Юрий,Матвеев
977,Никита,Койнов
978,Сергей,Ожогин
979,Виталий,Шуликовских
980,Анатолий,Желенков
981,Андрей,Леуткин
982,Дмитрий,Грошев
983,Владимир,Тензин
984,Роман,Руцких
985,Армен,Бароян
986,Алексей,Хомутинников
987,Ярослав,Фоменко
988,Максим,Куленков
989,Константин,Шпетных
990,Иван,Розин
991,Аркадий,Юдкин
992,Алексей,Безрученко
993,Павел,Полковников
994,Константин,Тимофеев
995,Василий,Запалов
996,Владимир,Цуранков
997,Степан,Шелепов
998,Геннадий,Хламов
999,Павел,Акулов
1000,Василий,Перепелищенко
1001,Антон,Большаков
1002,Рафаэль,Нечаев
1003,Александр,Друженков
1004,Егор,Батищев
1005,Денис,Пинько
1006,Сергей,Зубакин
1007,Сергей,Науман
1008,Александр,Мазуров
1009,Аркадий,Богданов
1010,Станислав,Ярославский
1011,Иван,Федай
1012,Иван,Стеценко
1013,Михаил,Поспелов
1014,Вячеслав,Лычагин
1015,Руслан,Герцун
1016,Александр,Воросцов
1017,Данил,Байков
1018,Александр,Лемермаер
1019,Евграф,Крымский
1020,Иван,Максимов
1021,Алексей,Бушуев
1022,Евгений,Туфленко
1023,Алексей,Бабич
1024,Антон,Ковалевич
1025,Сергей,Беспалов
1026,Иван,Черемисин
1027,Игнат,Дремов
1028,Анатолий,Ярославцев
1029,Геннадий,Савельев
1030,Алексей,Антикеев
1031,Сергей,Солохин
1032,Вадим,Юрчук
1033,Андрей,Харланчук
1034,Руслан,Гафурбаев
1035,Александр,Коголенок
1036,Александр,Воробьев
1037,Константин,Бобылев
1038,Максим,Семёнов
1039,Вадим,Парубов
1040,Вадим,Еремеев
1041,Александр,Щёголев
1042,Умуд,Мамедов
1043,Никита,Папанов
1044,Владимир,Котельников
1045,Алексей,Мазин
1046,Юрий,Семенихин
1047,Николай,Шмыгов
1048,Вячеслав,Моргун
1049,Андрей,Дегин
1050,Андрей,Данильченко
1051,Юрий,Оглы
1052,Дмитрий,Климонтов
1053,Игорь,Гулага
1054,Алексей,Ивкин
1055,Олег,Хорошевцев
1056,Евгений,Семисоха
1057,Тимофей,Антипов
1058,Юрий,Бахтин
1059,Сергей,Тябаев
1060,Рамеш,Федоров
1061,Игорь,Морарь
1062,Владимир,Черепанов
1063,Эдаятулла,Нурзай
1064,Дмитрий,Беломестнов
1065,Максим,Рожин
1066,Сергей,Моробьян
1067,Юрий,Ашихмин
1068,Андрей,Татьянкин
1069,Сергей,Казацкий
1070,Евгений,Лабынцев
1071,Владимир,Сидоркин
1072,Николай,Поздняков
1073,Дмитрий,Оськин
1074,Дмитрий,Базанов
1075,Александр,Владимиров
1076,Дмитрий,Васильев
1077,Евгений,Широков
1078,Михаил,Гилёв
1079,Александр,Попов
1080,Виктор,Касельбах
1081,Виталий,Фролов
1082,Владимир,Хакимов
1083,Роман,Белоусов
1084,Виктор,Калачев
1085,Дмитрий,Казанцев
1086,Сергей,Степанов
1087,Роман,Турыгин
1088,Виктор,Шутов
1089,Владимир,Подшивайлов
1090,Валерий,Шевцов
1091,Руслан,Янгибаев
1092,Евгений,Бурбах
1093,Александр,Усанов
1094,Сергей,Новоторов
1095,Иван,Кулий
1096,Сергей,Быков
1097,Денис,Бобровский
1098,Эдуард,Подрезенок
1099,Александр,Бацай
1100,Евгений,Нефедов
1101,Данил,Скорик
1102,Евгений,Казанцев
1103,Сергей,Кременских
1104,Павел,Будилов
1105,Андрей,Щербин
1106,Алексей,Дубровский
1107,Илья,Смирнов
1108,Алексей,Лубарев
1109,Игорь,Шварц
1110,Виктор,Красовский
